Cloud-J v7.4+  extended cloud scattering and absorption for 12:18 (old FJ) & 19:27 (+RRTM)
  06 = 04 water clouds + 02 ice-clouds for each FJext bins.  Use #12 for #1:#11 (very little light in trop)
ice clouds, new PI0, Q, uses Mishchenko P1:P7 (Reff=40=irreg/warm, =60=hexag/cold)
  01 1.000  3.00 C1/Deirmenjian gamma:r-m=2.0/alf=6 n=1.335 reff=3.0 G=19.6 rho=1.
  02 1.000  6.00 C1/Deir: r-m=4.0/alf=6 n=1.335  reff=6.0 G=78.2 rho=1.
  03 1.000 12.00 C1/Deir: r-m=8.0/alf=2 n=1.335  reff=12.0 G=301.1 rho=1.
  04 1.000 20.00 C1/Deir: r-m=13./alf=2 n=1.335  reff=20.0 G=473. rho=1.
  05 0.917 40.00 Ice-Irregular (Mishchencko) Warm reff=40 approx rho=0.917
  06 0.917 60.00 Ice-Hexagonal (Mishchencko) Cold reff=60 approx rho=0.917
FJ# Weff Reff Geff  NReal NImag   Q-ext PI0 ssa P1:P7
18 0.599  6.0 78.2 1.333 3.1E-08 2.138 1.00000 2.547 3.892 4.583 5.265 5.946 6.540 7.299
18 0.599 12.0 301. 1.333 3.1E-08 2.086 0.99999 2.593 3.972 4.726 5.405 6.142 6.763 7.620
18 0.599 20.0 473. 1.333 3.1E-08 2.061 0.99999 2.614 4.007 4.789 5.466 6.226 6.859 7.758
18 0.599 40.0 999. 1.310 1.7E-08 2.033 0.99998 2.257 3.164 4.096 5.088 6.018 6.897 7.794
18 0.599 60.0 999. 1.310 1.7E-08 2.033 0.99998 2.435 3.712 4.756 5.960 6.908 7.865 8.954

19 0.973  3.0 19.6 1.328 2.8E-06 2.311 0.99989 2.390 3.603 4.085 4.685 5.109 5.540 5.932
19 0.973  6.0 78.2 1.328 2.8E-06 2.190 0.99978 2.515 3.828 4.473 5.123 5.721 6.253 6.888
19 0.973 12.0 301. 1.328 2.8E-06 2.117 0.99959 2.576 3.940 4.673 5.344 6.042 6.633 7.418
19 0.973 20.0 473. 1.328 2.8E-06 2.083 0.99934 2.603 3.989 4.762 5.436 6.176 6.789 7.637
19 0.973 40.0 999. 1.302 1.7E-06 2.045 0.99906 2.257 3.164 4.096 5.088 6.018 6.897 7.794
19 0.973 60.0 999. 1.302 1.7E-06 2.045 0.99906 2.435 3.712 4.756 5.960 6.908 7.865 8.954

20 1.270  3.0 19.6 1.324 1.2E-05 2.385 0.99967 2.323 3.448 3.819 4.303 4.602 4.933 5.208
20 1.270  6.0 78.2 1.324 1.2E-05 2.234 0.99934 2.480 3.768 4.376 5.030 5.555 6.057 6.586
20 1.270 12.0 301. 1.324 1.2E-05 2.141 0.99870 2.560 3.913 4.629 5.295 5.968 6.538 7.269
20 1.270 20.0 473. 1.324 1.2E-05 2.100 0.99790 2.595 3.976 4.743 5.415 6.143 6.743 7.555
20 1.270 40.0 999. 1.297 1.3E-05 2.054 0.99442 2.257 3.164 4.096 5.088 6.018 6.897 7.794
20 1.270 60.0 999. 1.297 1.3E-05 2.054 0.99442 2.435 3.712 4.756 5.960 6.908 7.865 8.954

21 1.448  3.0 19.6 1.321 1.6E-04 2.448 0.99626 2.321 3.395 3.729 4.109 4.324 4.554 4.743
21 1.448  6.0 78.2 1.321 1.6E-04 2.256 0.99206 2.469 3.746 4.341 4.975 5.501 5.980 6.480
21 1.448 12.0 301. 1.321 1.6E-04 2.155 0.98501 2.562 3.912 4.636 5.306 5.983 6.554 7.268
21 1.448 20.0 473. 1.321 1.6E-04 2.109 0.97622 2.604 3.988 4.778 5.471 6.217 6.836 7.649
21 1.448 40.0 999. 1.293 2.4E-04 2.059 0.92241 2.257 3.164 4.096 5.088 6.018 6.897 7.794
21 1.448 60.0 999. 1.293 2.4E-04 2.059 0.92241 2.435 3.712 4.756 5.960 6.908 7.865 8.954

22 1.767  3.0 19.6 1.313 3.2E-04 2.667 0.99436 2.370 3.411 3.761 4.017 4.104 4.152 4.165
22 1.767  6.0 78.2 1.313 3.2E-04 2.290 0.98706 2.441 3.691 4.255 4.859 5.343 5.789 6.216
22 1.767 12.0 301. 1.313 3.2E-04 2.180 0.97517 2.557 3.902 4.630 5.295 5.962 6.515 7.180
22 1.767 20.0 473. 1.313 3.2E-04 2.126 0.96105 2.608 3.996 4.806 5.507 6.262 6.881 7.667
22 1.767 40.0 999. 1.284 2.2E-04 2.068 0.93950 2.257 3.164 4.096 5.088 6.018 6.897 7.794
22 1.767 60.0 999. 1.284 2.2E-04 2.068 0.93950 2.435 3.712 4.756 5.960 6.908 7.865 8.954

23 2.039  3.0 19.6 1.302 9.2E-04 2.919 0.98771 2.458 3.531 3.982 4.219 4.260 4.199 4.082
23 2.039  6.0 78.2 1.302 9.2E-04 2.323 0.96950 2.423 3.644 4.188 4.752 5.205 5.627 6.002
23 2.039 12.0 301. 1.302 9.2E-04 2.199 0.94265 2.574 3.928 4.699 5.387 6.069 6.635 7.274
23 2.039 20.0 473. 1.302 9.2E-04 2.139 0.91165 2.638 4.046 4.929 5.685 6.487 7.158 7.956
23 2.039 40.0 999. 1.272 1.2E-03 2.075 0.78258 2.257 3.164 4.096 5.088 6.018 6.897 7.794
23 2.039 60.0 999. 1.272 1.2E-03 2.075 0.78258 2.435 3.712 4.756 5.960 6.908 7.865 8.954

24 2.309  3.0 19.6 1.283 6.7E-04 3.128 0.99274 2.554 3.695 4.274 4.545 4.578 4.447 4.222
24 2.309  6.0 78.2 1.283 6.7E-04 2.366 0.98065 2.420 3.602 4.122 4.578 4.937 5.266 5.534
24 2.309 12.0 301. 1.283 6.7E-04 2.219 0.96163 2.564 3.922 4.698 5.361 6.016 6.539 7.091
24 2.309 20.0 473. 1.283 6.7E-04 2.152 0.93996 2.632 4.044 4.929 5.643 6.414 7.024 7.730
24 2.309 40.0 999. 1.251 4.7E-04 2.081 0.90622 2.257 3.164 4.096 5.088 6.018 6.897 7.794
24 2.309 60.0 999. 1.251 4.7E-04 2.081 0.90622 2.435 3.712 4.756 5.960 6.908 7.865 8.954

25 2.748  3.0 19.6 1.239 1.0E-01 2.401 0.56642 2.770 4.128 5.040 5.553 5.726 5.625 5.316
25 2.748  6.0 78.2 1.239 1.0E-01 2.382 0.51617 2.855 4.483 5.868 7.037 8.010 8.805 9.432
25 2.748 12.0 301. 1.239 1.0E-01 2.211 0.49792 2.911 4.723 6.424 8.023 9.52710.93612.249
